Beskrivelse,CreationDate,Creator,EditDate,Editor,Navn_bekk,Navn_observatør,POINT_X,POINT_Y,Registreringsdato,x,y
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk fra Møskelandsheia,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2016-02-29 00:00:00,"33 493,762","6 474 221,488"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Møska,"Fylkesmannen i Vest-Agder, K. Benestvedt",,,2006-08-23 00:00:00,"34 003,448","6 475 702,247"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Hommabekken,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2016-02-29 00:00:00,"34 123,252","6 474 920,081"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk ved Herdal,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2016-02-29 00:00:00,"37 619,966","6 473 162,525"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Litleåna,Fylkesmannen i Vest-Agder,,,2016-02-29 00:00:00,"40 401,442","6 473 697,152"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Markelandsbekken,"Fylkesmannen i Vest-Agder, befart av E Vegge 2006",,,2006-08-23 00:00:00,"41 512,206","6 482 024,136"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Rudjordsbekken,"Fylkesmannen i Vest-Agder, befart av E Vegge 2006",,,2016-02-29 00:00:00,"39 114,685","6 479 694,05"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Stangebekken,"Fylkesmannen i Vest-Agder, befart av E Vegge 2006",,,2016-02-29 00:00:00,"38 945,4","6 479 346,006"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kvennbekken,"Fylkesmannen i Vest-Agder, befart av E Vegge 2006",,,2006-08-23 00:00:00,"40 352,687","6 480 829,066"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Moisbekken,"Fylkesmannen i Vest-Agder, befart av E Vegge 2006",,,2006-08-23 00:00:00,"42 111,105","6 482 423,36"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kvåsbekken,Fylkesmannen i Vest-Agder,,,2006-08-23 00:00:00,"43 500,049","6 484 320,422"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Veggebekken,"Fylkesmannen i Vest-Agder, befart av E Vegge 2006",,,2016-02-29 00:00:00,"38 708,993","6 479 732,951"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Sagebekken,Fylkesmannen i Vest-Agder,,,2006-08-23 00:00:00,"38 246,079","6 479 195,405"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk på vestsiden nedenfor Kvelland,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2016-02-29 00:00:00,"35 283,972","6 475 374,559"
