OBJECTID,Kommentar,Kulp_nedstrøms,Avstand til kulp,Beskrivelse av kulp,Vanndybde_nedstrøms,Stedsnavn,Studentenes vurdering,Anadrom strekning?,Over driftskontrakt?,Type tiltak,Prioritering,Fagkommentar,Kontrollert,Vassdragets viktighet,x,y
522,Denne er jeg også usikker på. Er 2 stikkrenner i forskjellig diameter. Der det er litt høyde opp mot den største. Den lille har veldig høy vannhastighet. Ser for meg at denne er krevende for nåde anadrom fisk og ål. ,Nei,10,,40.0,Mandal ,Ja,,,, ,,Nei,,"67 287,264","6 457 065,727"
523,"Fin gammel kulvert. Ikke hinder. Fin bekk, ser ut som om denne er ryddet kvist utav tidligere. Bra. ",Nei,0,,20.0,Mandal ,Nei,,,, ,,Nei,,"67 509,646","6 455 823,582"
524,"Tenker denne er hinder, lav vannføring og en del høyde opp mot innløp. ",Nei,30,,2.0,Mandal ,Ja,,,, ,,Nei,,"66 333,013","6 455 515,573"
525,Kulvert ser ikke ut som hinder. Gjengrodd bekk nedstrøms. ,Nei,0,,10.0,Mandal ,Nei,,,, ,,Nei,,"65 256,721","6 455 476,193"
526,"Kulvert ok, ikke hinder. Veldig gjengrodd bekk nedstrøms ",Nei,0,,20.0,Mandal ,Nei,,,, ,,Nei,,"65 095,478","6 456 017,517"
527,"Kulvert ikke hinder, grei bekk nedstrøms. Flere fisk nedstrøms. ",Nei,0,,15.0,Mandal ,Nei,,,, ,,Nei,,"65 373,721","6 457 047,464"
528,"Usikker på denne, grunneier mener denne stikkrenne stopper fisk. Gjengrodd bekk nedstrøms. ",Nei,0,,20.0,Mandal ,Ja,,,, ,,Nei,,"66 200,172","6 457 242,059"
529,Mistenker at denne er hinder. Lite vannføring gjennom kulvert. Og substrat nedstrøms bærer preg av lav vannføring. ,Nei,0,,40.0,Mandal ,Usikker,,,, ,,Nei,,"66 084,626","6 457 267,604"
530,Fin kulvert ikke hinder. Fin bekk nedstrøms. ,Nei,0,,70.0,Mandal,Nei,,,, ,,Nei,,"64 149,106","6 457 173,575"
531,"Grei bekk nedstrøms, kulvert ikke hinder ",Nei,0,,30.0,Mandal ,Nei,,,, ,,Nei,,"64 553,077","6 456 350,853"
532,Grei betongstikkrenne. Denne er ikke hinder. ,Nei,0,,80.0,Mandal ,Nei,,,, ,,Nei,,"64 055,731","6 455 386,714"
533,Enten ligger denne veldig lavt. Ellers så er siste betongelementet løsnet. Ser ut som hinder. ,Nei,0,,70.0,Mandal ,Ja,,,, ,,Nei,,"63 904,087","6 455 078,586"
534,Kulvert ikke hinder. Fin bekk nedstrøms. ,Nei,0,,50.0,Mandal ,Nei,,,, ,,Nei,,"63 857,366","6 454 556,094"
535,"Tenker denne er hinder både på grunn av høyde mot inngang, der det i tillegg ligger et vannføring. Plus stigningen på stikkrennen. ",Ja,40,"Antydning til kulp, fordypning i bekk. ",40.0,Mandal ,Ja,,,, ,,Nei,,"62 596,155","6 453 875,417"
536,"Mulig hinder, noe høyde opp mot kulvert og ikke veldig god plass til å hoppe fra. Sannsynligvis hinder for ål. ",Nei,10,,20.0,Mandal ,Ja,,,, ,,Nei,,"62 450,4","6 453 851,099"
537,Kulvert ser ok ut nedstrøms. Står noe fisk nedenfor kulvert. ,Nei,0,,70.0,Mandal ,Nei,,,, ,,Nei,,"62 195,138","6 453 780,315"
538,"Grei gammel kulvert. Lite vann, men ikke hinder. Gjengrodd bekk nedstrøms. ",Nei,0,,2.0,Mandal ,Nei,,,, ,,Nei,,"60 764,581","6 454 057,622"
539,"God vannføring, grei bekk. Ser ikke ut som hinder. ",Nei,5,,30.0,Mandal ,Nei,,,, ,,Nei,,"59 284,648","6 454 484,171"
540,Kulvert ser ikke ut som hinder. Men det er mye vegetasjon i bekkeløp. ,Nei,0,,20.0,Mandal ,Nei,,,, ,,Nei,,"59 143,425","6 454 685,945"
